date,occupancy,price,listings,calendar_file_date,bookings
2019-04-29,0.7453308972797401,103.61104344295575,9852,2019-03-15,7343.0
2019-04-30,0.7425903369874137,103.62596427121397,9852,2019-03-15,7316.0
2019-05-01,0.7470564352415754,103.87342671538774,9852,2019-03-15,7360.000000000001
2019-05-02,0.7498984977669509,103.83881445391799,9852,2019-03-15,7388.000000000001
2019-05-03,0.7514210312626878,106.13834754364596,9852,2019-03-15,7403.0
2019-05-04,0.7530450669914738,106.05795777507105,9852,2019-03-15,7419.0
2019-05-05,0.7454323995127893,103.95838408444986,9852,2019-03-15,7344.0
2019-05-06,0.7450263905805927,103.94863987007714,9852,2019-03-15,7339.999999999999
2019-05-07,0.7464474218432806,103.96731628095819,9852,2019-03-15,7354.000000000001
2019-05-08,0.7459399106780349,103.971071863581,9852,2019-03-15,7349.0
2019-05-09,0.7495939910678036,104.14890377588307,9852,2019-03-15,7385.000000000001
2019-05-10,0.7506090133982948,106.40966301258628,9852,2019-03-15,7395.0
2019-05-11,0.7474624441737718,106.26887941534714,9852,2019-03-15,7364.0
2019-05-12,0.7420828258221681,104.1386520503451,9852,2019-03-15,7311.0
2019-05-13,0.7473609419407228,104.37951684937069,9852,2019-03-15,7363.000000000001
2019-05-14,0.758018676410881,104.99187982135606,9852,2019-03-15,7468.0
2019-05-15,0.7638043036946813,105.61256597645148,9852,2019-03-15,7525.000000000001
2019-05-16,0.7617742590336988,105.74177831912301,9852,2019-03-15,7505.0
2019-05-17,0.7523345513601299,106.90032480714575,9852,2019-03-15,7412.0
2019-05-18,0.7474624441737718,106.2268574908648,9852,2019-03-15,7364.0
2019-05-19,0.7377182298010556,104.01624035728786,9852,2019-03-15,7268.0
2019-05-20,0.7356881851400731,103.96437271619976,9852,2019-03-15,7248.0
2019-05-21,0.7359926918392204,104.00284206252537,9852,2019-03-15,7251.0
2019-05-22,0.9272267206477733,102.54888663967611,9880,2019-05-22,9161.0
2019-05-23,0.8719765205950815,102.55379010221637,9881,2019-05-22,8616.0
2019-05-24,0.8462706203825524,104.70417973889282,9881,2019-05-22,8362.0
2019-05-25,0.8358465742333772,104.9244003643356,9881,2019-05-22,8259.0
2019-05-26,0.8238032587794758,102.71784232365145,9881,2019-05-22,8140.0
2019-05-27,0.819451472523024,102.77178423236515,9881,2019-05-22,8097.0
2019-05-28,0.8178322032182977,103.2546300981682,9881,2019-05-22,8081.0
2019-05-29,0.8146948689403907,103.49246027729987,9881,2019-05-22,8050.0
2019-05-30,0.8244104847687481,103.5270721586884,9881,2019-05-22,8146.0
2019-05-31,0.823600850116385,105.58647910130554,9881,2019-05-22,8138.0
2019-06-01,0.8231960327902035,105.80143710150794,9881,2019-05-22,8134.000000000001
